n	real_n	max_n	Time (s)	m	r
224.0	224.0	330.0	0.38570237159729004	11.0	6.0
227.0	227.0	330.0	0.40500712394714355	11.0	6.0
231.0	231.0	330.0	0.41274046897888184	11.0	6.0
234.0	234.0	330.0	0.43282341957092285	11.0	6.0
237.0	237.0	330.0	0.4250178337097168	11.0	6.0
240.0	240.0	330.0	0.42858171463012695	11.0	6.0
244.0	244.0	330.0	0.459277868270874	11.0	6.0
247.0	247.0	330.0	0.4490010738372803	11.0	6.0
250.0	250.0	330.0	0.464583158493042	11.0	6.0
254.0	254.0	330.0	0.4854435920715332	11.0	6.0
257.0	257.0	330.0	0.5070900917053223	11.0	6.0
260.0	260.0	330.0	0.5171904563903809	11.0	6.0
264.0	264.0	330.0	0.518439769744873	11.0	6.0
267.0	267.0	330.0	0.5276014804840088	11.0	6.0
270.0	270.0	330.0	0.54012131690979	11.0	6.0
273.0	273.0	330.0	0.5504839420318604	11.0	6.0
277.0	277.0	330.0	0.5868518352508545	11.0	6.0
280.0	280.0	330.0	0.6192879676818848	11.0	6.0
283.0	283.0	330.0	0.6222267150878906	11.0	6.0
287.0	287.0	330.0	0.6548464298248291	11.0	6.0
290.0	290.0	330.0	0.6612308025360107	11.0	6.0
293.0	293.0	330.0	0.7016716003417969	11.0	6.0
297.0	297.0	330.0	0.7138144969940186	11.0	6.0
300.0	300.0	330.0	0.7459385395050049	11.0	6.0
303.0	303.0	330.0	0.7734360694885254	11.0	6.0
306.0	306.0	330.0	0.8192906379699707	11.0	6.0
310.0	310.0	330.0	10.378181219100952	11.0	6.0
313.0	0.0	330.0	400.00055742263794	11.0	6.0
316.0	316.0	330.0	127.42140531539917	11.0	6.0
320.0	0.0	330.0	400.0006482601166	11.0	6.0
323.0	0.0	330.0	400.00058817863464	11.0	6.0
326.0	0.0	330.0	400.0005633831024	11.0	6.0
