n	real_n	max_n	Time (s)	m	r
40.0	40.0	55.0	0.027321577072143555	11.0	2.0
40.0	40.0	55.0	0.02682662010192871	11.0	2.0
41.0	41.0	55.0	0.028115272521972656	11.0	2.0
41.0	41.0	55.0	0.02820277214050293	11.0	2.0
42.0	42.0	55.0	0.02889108657836914	11.0	2.0
42.0	42.0	55.0	0.02915811538696289	11.0	2.0
43.0	43.0	55.0	0.030427217483520508	11.0	2.0
44.0	44.0	55.0	0.030874967575073242	11.0	2.0
44.0	44.0	55.0	0.03087472915649414	11.0	2.0
45.0	45.0	55.0	0.03282880783081055	11.0	2.0
45.0	45.0	55.0	0.031728267669677734	11.0	2.0
46.0	46.0	55.0	0.033307552337646484	11.0	2.0
46.0	46.0	55.0	0.03322887420654297	11.0	2.0
47.0	47.0	55.0	0.0351405143737793	11.0	2.0
47.0	47.0	55.0	0.0353243350982666	11.0	2.0
48.0	48.0	55.0	0.035605430603027344	11.0	2.0
48.0	48.0	55.0	0.035558462142944336	11.0	2.0
49.0	49.0	55.0	0.05125784873962402	11.0	2.0
50.0	50.0	55.0	0.04394102096557617	11.0	2.0
50.0	50.0	55.0	0.037878990173339844	11.0	2.0
51.0	51.0	55.0	0.04062461853027344	11.0	2.0
51.0	51.0	55.0	0.04643607139587402	11.0	2.0
52.0	52.0	55.0	0.04187798500061035	11.0	2.0
52.0	52.0	55.0	0.06112337112426758	11.0	2.0
53.0	53.0	55.0	0.08572530746459961	11.0	2.0
53.0	53.0	55.0	0.04148721694946289	11.0	2.0
54.0	54.0	55.0	0.33173203468322754	11.0	2.0
99.0	99.0	165.0	0.10718560218811035	11.0	3.0
100.0	100.0	165.0	0.10806608200073242	11.0	3.0
102.0	102.0	165.0	0.11159491539001465	11.0	3.0
103.0	103.0	165.0	0.11343646049499512	11.0	3.0
105.0	105.0	165.0	0.1207876205444336	11.0	3.0
107.0	107.0	165.0	0.12251710891723633	11.0	3.0
108.0	108.0	165.0	0.12526345252990723	11.0	3.0
110.0	110.0	165.0	0.1275649070739746	11.0	3.0
112.0	112.0	165.0	0.13133907318115234	11.0	3.0
113.0	113.0	165.0	0.13489460945129395	11.0	3.0
115.0	115.0	165.0	0.1386854648590088	11.0	3.0
117.0	117.0	165.0	0.14348316192626953	11.0	3.0
118.0	118.0	165.0	0.14302587509155273	11.0	3.0
120.0	120.0	165.0	0.14835691452026367	11.0	3.0
122.0	122.0	165.0	0.15398502349853516	11.0	3.0
123.0	123.0	165.0	0.15511441230773926	11.0	3.0
125.0	125.0	165.0	0.17025399208068848	11.0	3.0
127.0	127.0	165.0	0.16981291770935059	11.0	3.0
128.0	128.0	165.0	0.17051148414611816	11.0	3.0
130.0	130.0	165.0	0.1694638729095459	11.0	3.0
132.0	132.0	165.0	0.1736307144165039	11.0	3.0
133.0	133.0	165.0	0.17931842803955078	11.0	3.0
